Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2004-08-21,1.990887,2.269585,1.974113,34.349998,2.216039,619771600
2004-08-28,2.193459,2.321841,2.190878,35.230000,2.272810,452555600
2004-09-04,2.283778,2.359258,2.272810,35.869999,2.314099,358709400
2004-09-11,2.314744,2.411515,2.243779,37.139999,2.396031,443423400
2004-09-18,2.379258,2.507640,2.374742,37.290001,2.405708,450058000
2004-09-25,2.383774,2.533446,2.376032,38.670002,2.494737,478657200
2004-10-02,2.527639,2.640538,2.477319,39.059998,2.519897,552981800
2004-10-09,2.503124,2.951493,2.428933,45.500000,2.935364,1436656200
2004-10-16,2.883753,3.119228,2.883753,47.410000,3.058585,953856400
2004-10-23,3.045037,3.432118,3.030199,52.400002,3.380507,963746000
2004-10-30,3.386959,3.619853,3.357282,54.720001,3.530179,1167471200
2004-11-06,3.501148,3.592757,3.443731,55.500000,3.580499,578590600
2004-11-13,3.561145,3.671463,3.497922,55.170002,3.559210,573332200
2004-11-20,3.986934,4.242409,3.735332,64.550003,4.164347,1355148200
2004-11-27,4.448204,4.488204,3.983708,62.680000,4.043706,1442070000
2004-12-04,4.144992,4.304986,4.003062,65.150002,4.203054,1128499400
2004-12-11,4.233376,4.354661,4.167572,64.989998,4.192732,779683800
2004-12-18,4.223699,4.257891,3.974032,64.010002,4.129508,761075000
2004-12-25,4.180475,4.203054,4.003062,64.400002,4.154669,561184400
2005-01-01,4.179184,4.492075,4.038545,69.250000,4.467560,1350560400
2005-01-08,4.504978,4.801094,4.083705,70.199997,4.528848,2798024600
2005-01-15,4.506268,4.619166,4.370790,70.489998,4.547556,896152600
2005-01-22,4.579168,4.772708,4.551426,73.979996,4.772708,962049200
2005-01-29,4.811417,5.155274,4.806900,78.840004,5.086245,1168690600
2005-02-05,5.092051,5.289462,4.945605,81.210007,5.239142,1225001400
2005-02-12,5.337201,5.862986,5.293333,86.809998,5.600416,1976163000
2005-02-19,5.567513,5.800407,5.502357,88.989998,5.741056,1249753400
2005-02-26,5.764927,5.824279,5.318494,85.619995,5.523646,936558000
2005-03-05,5.522355,5.580418,5.010118,40.270000,5.195917,1051122100
2005-03-12,5.228174,5.604932,5.099147,42.959999,5.542999,888469400
2005-03-19,5.585579,5.673318,5.421714,42.500000,5.483647,513767800
2005-03-26,5.515902,5.542999,5.234625,40.889999,5.275914,602286300
2005-04-02,5.288817,5.735250,5.181725,43.739998,5.643641,677004300
2005-04-09,5.696542,5.709445,4.552072,35.350002,4.561105,1913987600
2005-04-16,4.515944,4.869479,4.386919,35.500000,4.580458,1238168400
2005-04-23,4.708196,4.839802,4.544331,36.060001,4.652713,854398300
2005-04-30,4.672067,4.816578,4.647552,37.240002,4.804966,531112400
2005-05-07,4.810127,4.832063,4.272084,34.770000,4.486269,1127723800
2005-05-14,4.459173,4.861738,4.455303,37.550003,4.844964,736293600
2005-05-21,4.883670,5.282366,4.883670,40.560001,5.233335,718392500
2005-05-28,5.246237,5.259141,4.873350,38.240002,4.933992,547215200
2005-06-04,4.945605,4.984313,4.583038,35.809998,4.620456,757606500
2005-06-11,4.630778,4.972701,4.612715,38.309998,4.943024,622690600
2005-06-18,4.883670,5.132694,4.823030,37.759998,4.872059,551033000
2005-06-25,4.753354,4.915928,4.660455,36.500000,4.709485,516805100
2005-07-02,4.715938,4.939154,4.709485,38.250000,4.935283,380838500
2005-07-09,4.950766,5.420424,4.874640,41.549999,5.361072,1061101300
2005-07-16,5.343009,5.682349,5.299139,44.000000,5.677188,604031400
2005-07-23,5.675898,5.726218,5.452681,42.650002,5.503002,415090200
2005-07-30,5.492678,5.612675,5.421714,42.989998,5.546871,345170700
2005-08-06,5.548161,5.963628,5.497841,46.099998,5.948144,526547000
2005-08-13,5.997174,6.235875,5.902985,45.830002,5.913308,735800800
2005-08-20,5.954597,6.079751,5.839763,45.739998,5.901695,448179900
2005-08-27,5.841052,6.086205,5.839763,46.220001,5.963628,439189800
2005-09-03,6.025560,6.625536,6.006207,51.309998,6.620376,774993800
2005-09-10,6.593280,6.661664,6.364902,51.209999,6.607473,606566800
2005-09-17,6.586829,6.942942,6.586829,53.200001,6.864235,765123100
2005-09-24,6.971329,7.039712,6.527477,53.610001,6.917136,795572400
2005-10-01,6.988103,7.141644,6.522314,51.299999,6.619084,773300500
2005-10-08,6.678438,7.012616,6.176522,54.000000,6.967458,1833001100
